文件,分类,类型,名称,效果,描述,获取方式,收益类型,价值,稀有度,备注
rogue_5_copper_F_06,砺武兵钱,衡,虹霓,投出时，最左边一列化境干员攻击速度+60,虹首坠江　饮江皋霁　祸不妄至　谋事在人,,0,4,稀有,
rogue_5_copper_F_07,砺武兵钱,衡,雾凇,投出时，最左边一列化境干员生命值+100%,冽彼冰花　太平佳兆　其始播谷　风调雨顺,,0,4,稀有,
rogue_5_copper_F_08,砺武兵钱,衡,霜雪,投出时，最左边一列化境干员攻击力+60%,冰封霜降　驰道难行　川流车乘　让礼三分,,0,4,稀有,
rogue_5_copper_F_09,砺武兵钱,花,驰道长,投出时，最左右两列化境干员攻击力+30%攻速+30,求工求学　驰道疏通　归程无阻　离多返少,,0,4,稀有,
rogue_5_copper_F_10,砺武兵钱,花,武人之争,投出时，所有我方单位攻击力+20%可叠加,东拳西腿　争胜永日　好事者众　各学几分,,0,4,稀有,
rogue_5_copper_F_11,砺武兵钱,花,百业俱兴,投出时，所有我方单位生命值+25%可叠加,两江汤汤　孕彼百氏　百业争发　愈渐繁华,,0,4,稀有,
rogue_5_copper_F_12,砺武兵钱,厉,寒窗志,投出时，干员防御力+200但部署后冻结5秒,繁霜覆窗　萧萧其风　灯下苦读　志高凌云,,0,4,稀有,
rogue_5_copper_F_13,砺武兵钱,衡,志欲遂,投出时，所有我方单位攻击速度+80递减,老树开花　心顽志坚　耄儒看榜　今年中乎,,0,4,稀有,
rogue_5_copper_F_14,砺武兵钱,衡,慧避灾,投出时，所有我方单位部署时获得4层护盾递减,钦天之眼　目光炯炯　防灾其冗　化繁为简,,0,4,稀有,
rogue_5_copper_F_15,砺武兵钱,厉,战血流,投出时，敌方生命值-45%我方生命值-25%,烽动鼓鸣　千军即发　武极弭乱　亦能致乱,,0,4,稀有,
rogue_5_copper_F_16,砺武兵钱,厉,遇良弈,投出时，敌方攻击力+25%我方攻击力+60%,棋逢对手　相与有成　弈枰胜负　谋定看天,,0,4,稀有,
rogue_5_copper_F_17,砺武兵钱,厉,隐市忧,投出时，我方获得55%闪避敌人攻速+25,柴米油盐　隐市之逸　喜怒哀乐　亦有纷扰,,0,4,稀有,
rogue_5_copper_F_18,砺武兵钱,厉,法与律,投出时，再部署时间-65%但部署人数-2,法之为公　情无可恕　律之悦情　翩翾若舞,,0,4,稀有,
rogue_5_copper_F_19,砺武兵钱,厉,两江春,投出时，敌人生命值+50%但阻挡时受伤,散仙妙手　春回两江　青山有碍　心摧不弃,,0,4,稀有,
rogue_5_copper_F_20,砺武兵钱,厉,凡物变,投出时，每5秒敌人移速+35%或-70%,凡物之变　日夜不息　泡影无踪　唯付一笑,,0,4,稀有,
