文件,分类,类型,名称,效果,描述,获取方式,收益类型,价值,稀有度,备注
rogue_5_copper_F_06,砺武兵钱,衡,虹霓,投出时，使战斗中位于最左边一列化境地块上的干员攻击速度+60,虹首坠江　饮江皋霁　祸不妄至　谋事在人,,0,4,普通,
rogue_5_copper_F_07,砺武兵钱,衡,雾凇,投出时，使战斗中位于最左边一列化境地块上的干员生命值+100%,冽彼冰花　太平佳兆　其始播谷　风调雨顺,,0,4,普通,
rogue_5_copper_F_08,砺武兵钱,衡,霜雪,投出时，使战斗中位于最左边一列化境地块上的干员攻击力+60%,冰封霜降　驰道难行　川流车乘　让礼三分,,0,4,普通,
rogue_5_copper_F_09,砺武兵钱,花,驰道长,投出时，使战斗中位于最左边和最右边一列化境地块上的干员攻击力+30%，攻击速度+30,求工求学　驰道疏通　归程无阻　离多返少,,0,4,普通,
rogue_5_copper_F_10,砺武兵钱,花,武人之争,投出时，所有我方单位的攻击力+20%，每额外投出一次，所有我方单位的攻击力额外+20％（最多叠加两次）,东拳西腿　争胜永日　好事者众　各学几分,,0,4,普通,
rogue_5_copper_F_11,砺武兵钱,花,百业俱兴,投出时，所有我方单位的生命值+25%，每额外投出一次，所有我方单位的生命值额外+25％（最多叠加三次）,两江汤汤　孕彼百氏　百业争发　愈渐繁华,,0,4,普通,
rogue_5_copper_F_12,砺武兵钱,厉,寒窗志,投出时，所有我方干员的防御力+200，但部署后冻结5秒。每额外投出一次，所有我方干员的防御力额外+100,繁霜覆窗　萧萧其风　灯下苦读　志高凌云,,0,4,普通,
rogue_5_copper_F_13,砺武兵钱,衡,志欲遂,投出时，所有我方单位的攻击速度+80，每额外投出一次，攻击速度加成效果-20（最多减少至0）,老树开花　心顽志坚　耄儒看榜　今年中乎,,0,4,普通,
rogue_5_copper_F_14,砺武兵钱,衡,慧避灾,投出时，所有我方单位在部署时获得4层护盾，每额外投出一次，获得护盾层数-1（最多减少至0）,钦天之眼　目光炯炯　防灾其冗　化繁为简,,0,4,普通,第5次投出时层数归零
rogue_5_copper_F_15,砺武兵钱,厉,战血流,投出时，所有敌方单位的最大生命值-45%，我方单位的最大生命值-25%,烽动鼓鸣　千军即发　武极弭乱　亦能致乱,,0,8,稀有,
rogue_5_copper_F_16,砺武兵钱,厉,遇良弈,投出时，所有敌方单位的攻击力+25%，我方单位的攻击力+60%,棋逢对手　相与有成　弈枰胜负　谋定看天,,0,8,稀有,
rogue_5_copper_F_17,砺武兵钱,厉,隐市忧,投出时，所有我方单位获得55%的物理法术闪避，所有敌人攻击速度+25,柴米油盐　隐市之逸　喜怒哀乐　亦有纷扰,,0,8,稀有,
rogue_5_copper_F_18,砺武兵钱,厉,法与律,投出时，所有我方单位再部署时间-65％，但我方可同时部署人数-2,法之为公　情无可恕　律之悦情　翩翾若舞,,0,8,稀有,
rogue_5_copper_F_19,砺武兵钱,厉,两江春,投出时，所有敌人的最大生命值+50%，但受到阻挡时每秒受到5%当前生命值的法术伤害,散仙妙手　春回两江　青山有碍　心摧不弃,,0,8,稀有,效果无视敌方目标可选性
rogue_5_copper_F_20,砺武兵钱,厉,凡物变,投出时，每5秒，所有敌人的移动速度+35％或-70％,凡物之变　日夜不息　泡影无踪　唯付一笑,,0,8,稀有,战斗开始后每5秒清除全体敌人的凡物变效果并执行一次50%概率的判定，成功时加速，失败时减速；赋予加减速受可选性影响，但清除不受影响
rogue_5_copper_F_21,砺武兵钱,厉,人间长存,投出时，干员首次被击倒不撤退，原地再部署并随机选择部署方向,钢铁拟心　岂能久乎　欲存于世　砥砺必行,,0,12,绝世,受到致命伤害时生效，各干员每次战斗仅可触发1次
rogue_5_copper_F_22,砺武兵钱,厉,神农守,投出时，所有我方干员造成伤害时获得2点技力，但技力恢复速度-1/秒,枯田万亩　静守千年　壤成膏沃　百谷丰登,,0,8,稀有,不包含治疗
rogue_5_copper_F_23,砺武兵钱,厉,梦奇物,投出时，所有我方干员的技力消耗-40%，但技能会自动开启,笔自成书　无人茶沸　垂帘拂面　觉来知梦,,0,8,稀有,
rogue_5_copper_F_24,砺武兵钱,厉,一字落,投出时，初始的部署费用+99，费用自然回复速度降低50%,教而化之　民识愈开　无字无念　了了忘缘,,0,8,稀有,
rogue_5_copper_F_25,砺武兵钱,厉,待机缘,投出时，击败敌人后获得10点部署费用，费用自然回复速度降低50%,好物有价　至情无市　因时施宜　静待佳音,,0,8,稀有,效果在目标以任意方式死亡时即触发；可被敌方目标重生清除
rogue_5_copper_F_26,砺武兵钱,厉,画人间,效果在界园投出时，所有我方单位的攻击速度-20；在岁兽残识投出时，所有我方单位的攻击速度+60,良辰美景　自有去时　未若画中　墨香长留,,0,8,稀有,
rogue_5_copper_F_27,砺武兵钱,厉,恣狂情,投出时，每10秒，所有我方干员获得20点技力或失去10点技力,酒至酣处　诗兴亦狂　或邀双月　或闻征鼓,,0,8,稀有,战斗开始后每10秒执行一次50%概率的判定，成功时增加技力，失败时增加负数技力
rogue_5_copper_F_28,砺武兵钱,衡,挪移,投出时，化境地块上的干员撤离时返还的部署费用变为100%,借土挪移　天师妙法　纵有天险　须臾即至,,0,4,普通,
rogue_5_copper_F_29,砺武兵钱,衡,迅步,投出时，化境地块上的干员被击倒或撤离时，再部署时间-30%,轻身迅步　天师妙法　避障离害　日行千里,,0,4,普通,
rogue_5_copper_F_30,砺武兵钱,厉,生材百相,投出时，战斗开始时打乱所有干员的攻击力,可成玩物　可成器具　可成武备　可成栋梁,,0,12,绝世,
rogue_5_copper_F_31,砺武兵钱,衡,重铠,投出时，所有我方干员防御力+50%，生命+50%，但部署费用+5,精铁百炼　披覆周身　兵灾难侵　寸步难移,,0,4,普通,
rogue_5_copper_F_32,砺武兵钱,厉,火机,投出时，所有我方干员攻击力+30%，但再部署时间+30%,人有巧械　可撼群兽　以火为引　地动山摇,,0,4,普通,
rogue_5_copper_P_01,砺武兵钱,厉,岁醒天时,投出时，除部署在化境上的我方单位外，所有其他我方单位和敌方单位每秒受到100点真实伤害,岁识即醒　天地震荡　伥气起兮　难捱此难,,0,,异常,
rogue_5_copper_P_02,砺武兵钱,厉,无皎之昧,投出时，战斗中刮起随机方向的沙尘暴，位于沙尘暴中的我方单位攻击力降低60％。所有我方单位攻击速度+80,有神无形　浊水晦冥　岁识怨怒　乱流相击,,0,,异常,

rogue_5_copper_R_01,富贵商钱,衡,庆丰收,加入钱盒时，立即获得目标生命上限+2，投出时，安全的角落出现额外选项,农忙事毕　影戏喧喧　祈愿来年　时和岁丰,,0,8,稀有,
rogue_5_copper_R_02,富贵商钱,衡,塞上月,投出时，立即获得护盾值+1，每次战斗后目标生命-1，护盾值+1,漠上圆月　寒沙白草　将士出塞　铁衣如雪,,0,8,稀有,
rogue_5_copper_R_03,富贵商钱,花,聚力则强,投出时，进入战斗后获得一个特殊的战术道具,广厦亭亭　驰道交通　八方施力　大业既成,,0,12,绝世,
rogue_5_copper_R_04,富贵商钱,衡,军屯垦,投出时，每次经过非战斗节点，获得3点源石锭及1点希望,执刃之手　挥锄不辍　良田郁郁　谷仓盈盈,,0,8,稀有,
rogue_5_copper_R_05,富贵商钱,厉,安硕鼷,投出时，击败雕伥后，额外获得票券。雕伥最大生命值大幅提升,戾彼硕鼷　横行纵暴　食以好麦　无食我苗,,0,8,稀有,雕伥的最大生命值+200%
rogue_5_copper_R_06,富贵商钱,衡,诡意代币,加入钱盒时，立即获得源石锭+10。投出时，诡意行商及易与节点更易出现稀有商品且商品售价降低,您有需求　他有答案　若有诚意　交个朋友,在<不期而遇>"催债鬼夜叉"事件中选择还清债款的选项,0,12,绝世,
rogue_5_copper_R_07,富贵商钱,厉,合乎礼,加入钱盒时，立即获得源石锭+30，每次投出时，源石锭-10,喜宴嘉宾　厚礼相赠　还礼与否　忧以忘喜,,0,8,稀有,
rogue_5_copper_R_08,富贵商钱,花,茧成绢,投出时，每有4点源石锭，获得1点源石锭,茧能成绢　故得青目　天下熙熙　惟利是营,,0,12,绝世,单次投出最多获得99点源石锭
rogue_5_copper_R_09,富贵商钱,厉,黑子伏,位于钱盒内时，战斗后获得的指挥经验+30%；投出时，所有敌人的移动速度+30%，攻击力+30%（下次投钱前变化为大炎通宝）,诸事顺遂　似有天助　一子既落　已在局中,,0,12,绝世,
rogue_5_copper_R_10,富贵商钱,花,平沙之盾,投出时，每有1点护盾值，所有我方单位的最大生命值+5%,边城屡覆　寇乱沙碛　终得一城　走沙御敌,,0,12,绝世,
rogue_5_copper_R_11,富贵商钱,花,火上之灶,投出时，每有2点源石锭，所有我方单位的攻速+3,矿以为火　城以为灶　化灾为宜　进取奇速,,0,12,绝世,
rogue_5_copper_R_12,富贵商钱,花,界园行,位于钱盒内时，从先行一步返回的干员带回更多票券；在界园投出时可以刷新节点且必定出现先行一步，可使用1次,上游岁识　下览亭园　此间之乐　没齿难忘,,0,8,稀有,
rogue_5_copper_R_13,富贵商钱,衡,债难偿,加入钱盒时，获得6目标生命值上限；投出时，每经过一个非战斗节点，失去1目标生命值上限（不会低于1）,一时之利　目眩神移　代代清偿　无边无际,,0,8,稀有,
rogue_5_copper_R_14,富贵商钱,衡,触锁代币,在界园投出时可以刷新节点且必定出现诡意行商，可使用1次,诡秘商贾　行销万物　以币为信　抛之即至,,0,8,稀有,可刷新次数绑定于该通宝而非节点；仅在下次加入钱盒时刷新可用次数
rogue_5_copper_R_15,富贵商钱,花,延识镇木,在界园投出时可以刷新节点且必定出现一个进入是非境的误入奇境，可使用1次,园有奇木　可通岁识　塑之为币　抛之即用,,0,12,绝世,可刷新次数绑定于该通宝而非节点；仅在下次加入钱盒时刷新可用次数
rogue_5_copper_U_1,待铸子钱,厉,移山难,投出时，所有敌方单位防御力+2000，但每次受到伤害时防御力-100（最多叠加25次），可在筹谋中升级,土木学子　念彼高山　移城在即　技犹不及,,0,8,稀有,
rogue_5_copper_U_2,待铸子钱,衡,移山繁,投出时，所有敌方单位防御力+2000，但每次受到伤害时防御力-150（最多叠加25次）,彼山崔崔　乡心眷眷　移山迢迢　将勤补拙,在<筹谋>中交换通宝【移山难】升级,0,8,稀有,
rogue_5_copper_U_3,待铸子钱,厉,朝闻道,投出时，每场战斗使随机一名干员的生命值、攻击力、初始技力、部署费用+100%。可在筹谋中升级,天师学徒　难得贤才　朝起闻道　惺忪思眠,在<传说>"应'蕴'而生"事件中通过0厉1花的投钱检定的"？？？"选项概率获得,0,8,稀有,
rogue_5_copper_U_4,待铸子钱,衡,天下先,投出时，每场战斗开始时使随机两名干员的生命值、攻击力、初始技力、部署费用+100%,一朝出师　自树其帜　心怀天下　少年壮志,在<筹谋>中交换通宝【朝闻道】升级,0,8,稀有,
rogue_5_copper_U_5,待铸子钱,衡,初有文,在界园投出时，生效期间可刷新节点一次。可在筹谋中升级,炎字为首　千字呼出　同文同心　百氏共荣,,0,8,稀有,可刷新次数绑定于该通宝而非节点；每次投出时重置可刷新次数；无法刷新改变或获得：<险路恶敌><命运所指><指点迷津><误入奇境>；不可对每层的最后一个节点使用
rogue_5_copper_U_6,待铸子钱,花,载道远,每次投出时，使下次进入岁兽残识时随机一个节点变为已探索状态。在界园投出时，生效期间可刷新节点两次,著文载道　行以文传　彼江杳杳　有光始清,在<筹谋>中交换通宝【初有文】升级,0,8,稀有,可刷新次数绑定于该通宝而非节点；每次投出时重置可刷新次数；无法刷新改变或获得：<险路恶敌><命运所指><指点迷津><误入奇境>；不可对每层的最后一个节点使用
rogue_5_copper_U_7,待铸子钱,衡,勤运体,投出时，战斗结束后额外掉落1点目标生命值，可在筹谋中升级,轻舞缓行　习拳蹬腿　晨园熙攘　日日不倦,,0,8,稀有,
rogue_5_copper_U_8,待铸子钱,花,修性情,投出时，目标生命值上限+2，战斗结束后额外掉落2点目标生命值,吹呼吐纳　凝思冥想　静以养性　防患未然,在<筹谋>中交换通宝【勤运体】升级之一,0,8,稀有,
rogue_5_copper_U_9,待铸子钱,花,心无患,投出时，战斗结束后额外掉落1点目标生命值，经过非战斗节点时目标生命值上限+1,澹然忘忧　琐事无争　心闲自乐　陶然成趣,在<筹谋>中交换通宝【勤运体】升级之一,0,8,稀有,
rogue_5_copper_S_1,天师奇钱,花,鸭爵金币,投出时，使作战及紧急作战战斗中必定出现一名属性大幅度提升的鸭爵、高普尼克、流泪小子或圆仔。（下次投钱前变化为大炎通宝）,东西不错　千金不换　哈哈哈哈　再加个零,,0,12,绝世,投出后分为"强化"与"额外出现"两个效果：强化对所有目标奖励敌人生效；额外出现使每场<作战>和<紧急作战>不再出现随机奖励敌人，改为特定路径与时间生成特定奖励敌人
rogue_5_copper_S_2,天师奇钱,衡,鸿蒙开荒,在界园投出时，立即获得4张票券。在岁兽残识投出时，剩余烛火+2（下次投钱前变化为大炎通宝）,百氏从炎　避祸迁徙　两江之畔　垦墟为田,,0,12,绝世,
rogue_5_copper_S_3,天师奇钱,花,己任重,投出时，非因指挥等级提升获得源石锭，护盾值，希望时，获得数量+1（下次投钱前变化为大炎通宝）,平步青云　志在万里　云浮霞动　且兢其步,,0,4,传说,
rogue_5_copper_S_4,天师奇钱,花,圣诏封神,投出时，使战斗结束后获得的招募券变化为6星随机直升临时招募券（下次投钱前变化为大炎通宝）,悠悠上古　群英争辉　圣诏赫赫　一举逐神,在"烟火漫天"事件中：<不期而遇>版本选择消耗所有源石锭的"承担费用"选项；<传说>版本选择消耗一半源石锭的"散家财"选项必定获得，或选择进行1厉投钱检定的"赴前线"选项概率获得,0,12,绝世,
rogue_5_copper_S_5,天师奇钱,花,神秘商贾,加入钱盒时，票券+4。投出时，购买道具及在失与得交换收藏品时，希望+1（下次投钱前变化为大炎通宝）,革旧之机　从新之望　非无可买　愿以何换,,0,12,绝世,
rogue_5_copper_S_6,天师奇钱,厉,诛邪雷法,投出时，战斗中对随机一格化境降下落雷，对首个部署在该地块上的干员和周围敌人造成9次伤害。落雷结束后若该干员未被击倒，则战斗结束后成为伺烛客,其心昭明　有思则悟　诛恶及本　雷撼天地,,0,4,传说,目标地块将出现向内收缩的波纹特效；在该地块首次部署干员后对该干员开始"试炼"：每秒降下1道落雷（共9道），每道对该干员和周围四格敌人造成400点无来源法术普通伤害；第九道落雷劈下后若试炼干员存活，该干员在本次战斗结束后成为伺烛客；试炼干员退场时若未完成试炼则立刻终止落雷
rogue_5_copper_S_7,天师奇钱,厉,商路难行,位于钱盒内时，当前节点获得纵向通路。投出时，源石锭-5,国之初开　荒路匪起　出金买路　镖匪同存,,0,4,传说,若当前节点事件在获得该通宝前结束，则不对该节点生效
rogue_5_copper_S_8,天师奇钱,花,孜孜不倦,位于钱盒内时，每经过一个节点，获得2源石锭（下次投钱前变化为大炎通宝）,跬步千里　聚沙成塔　稀有懈怠　再难复返,,0,12,绝世,
